mode,channel_key,feature_index,feature_label,expectation,shots_or_weight,distribution,raw_distribution,readout_corrected,readout_raw_normalization,readout_raw_negativity,readout_simplex_projection_l1,readout_condition_number,readout_inverse_overhead_l1
readout_mitigated,q1,13,Z+->Y,-0.031999958443571674,256.0,"{'0': 0.4840000207782142, '1': 0.5159999792217859}","{'00010': 127, '01000': 1, '00000': 123, '10010': 1, '00011': 2, '01010': 1, '00100': 1}",True,0.9999989997450005,0.0,1.000254999494743e-06,1.025314453048712,1.0319989098046713
readout_mitigated,q1,14,Z+->Z,0.9999989593610832,256.0,"{'0': 0.9999994796805416, '1': 5.20319458458969e-07}","{'01000': 5, '00000': 243, '00001': 2, '10000': 2, '00010': 2, '00100': 2}",True,0.9999990080009835,0.0,9.91999016486389e-07,1.025314453048712,1.0319989098046713
readout_mitigated,q1,15,Z-->X,-0.09599989133068204,256.0,"{'0': 0.452000054334659, '1': 0.547999945665341}","{'01000': 3, '00000': 113, '01011': 1, '00010': 135, '00001': 1, '01010': 2, '00110': 1}",True,0.9999989992330015,0.0,1.0007669985490075e-06,1.025314453048712,1.0319989098046713
readout_mitigated,q1,16,Z-->Y,-0.12799985777423722,256.0,"{'0': 0.43600007111288136, '1': 0.5639999288871186}","{'00010': 138, '01000': 3, '00000': 109, '00001': 1, '01010': 2, '10010': 1, '00011': 2}",True,0.9999989989770022,0.0,1.0010229978263396e-06,1.025314453048712,1.0319989098046713
readout_mitigated,q1,17,Z-->Z,-0.999998943361116,256.0,"{'0': 5.283194419551662e-07, '1': 0.999999471680558}","{'00010': 246, '00011': 2, '01010': 4, '00000': 4}",True,0.9999989920010165,0.0,1.0079989834488323e-06,1.025314453048712,1.0319989098046713
readout_mitigated,q2,0,X+->X,0.9999989882055607,256.0,"{'0': 0.9999994941027803, '1': 5.058972196957349e-07}","{'01000': 2, '00000': 242, '00010': 4, '00001': 5, '10000': 2, '00100': 1}",True,0.9999989960794393,0.0,1.0039205606826584e-06,1.005550432859543,1.0078421175555774
readout_mitigated,q2,1,X+->Y,-0.13725476754685184,256.0,"{'0': 0.4313726162265741, '1': 0.5686273837734259}","{'00000': 108, '00100': 138, '00010': 1, '01100': 4, '00001': 1, '00110': 3, '10100': 1}",True,0.9999990005392536,0.0,9.994607463870153e-07,1.005550432859543,1.0078421175555774
readout_mitigated,q2,2,X+->Z,0.019607819453480946,256.0,"{'0': 0.5098039097267405, '1': 0.49019609027325955}","{'00100': 124, '00000': 123, '01000': 2, '00001': 3, '01100': 2, '00010': 2}",True,0.9999989999241068,0.0,1.0000758932093845e-06,1.005550432859543,1.0078421175555774
readout_mitigated,q2,3,X-->X,-0.9921558666986654,256.0,"{'0': 0.003922066650667287, '1': 0.9960779333493327}","{'00100': 248, '01100': 2, '00110': 3, '00000': 1, '10100': 1, '00101': 1}",True,0.9999990038918036,0.0,9.961081963716367e-07,1.005550432859543,1.0078421175555774
readout_mitigated,q2,4,X-->Y,-0.0666666033967021,256.0,"{'0': 0.4666666983016489, '1': 0.533333301698351}","{'00100': 133, '01000': 1, '00000': 117, '00010': 1, '01100': 1, '00110': 1, '00101': 2}",True,0.9999990002624376,0.0,9.997375623460591e-07,1.005550432859543,1.0078421175555774
readout_mitigated,q2,5,X-->Z,0.11372537165368052,256.0,"{'0': 0.5568626858268403, '1': 0.44313731417315977}","{'00000': 137, '00100': 112, '00010': 4, '10100': 1, '00001': 1, '01100': 1}",True,0.9999989995550187,0.0,1.000444981302806e-06,1.005550432859543,1.0078421175555774
readout_mitigated,q2,6,Y+->X,0.09019598360363063,256.0,"{'0': 0.5450979918018153, '1': 0.45490200819818466}","{'01000': 3, '00000': 133, '00100': 112, '00110': 2, '10000': 1, '00001': 1, '00010': 1, '01100': 2, '00101': 1}",True,0.9999989996472908,0.0,1.0003527091684283e-06,1.005550432859543,1.0078421175555774
readout_mitigated,q2,7,Y+->Y,1.0,256.0,"{'0': 1.0, '1': 0.0}","{'01000': 5, '00000': 249, '00010': 1, '00001': 1}",True,0.999998996048682,0.003921560753447634,0.007842117555577295,1.005550432859543,1.0078421175555774
readout_mitigated,q2,8,Y+->Z,-0.027450956646619007,256.0,"{'0': 0.4862745216766905, '1': 0.5137254783233095}","{'01000': 3, '00000': 115, '00100': 130, '00001': 4, '01100': 1, '00010': 2, '00110': 1}",True,0.999999000108651,0.0,9.998913490516514e-07,1.005550432859543,1.0078421175555774
readout_mitigated,q2,9,Y-->X,-0.04313721534665221,256.0,"{'0': 0.4784313923266739, '1': 0.5215686076733261}","{'00101': 4, '01000': 1, '00000': 115, '00100': 128, '01100': 1, '00010': 1, '00001': 4, '00110': 1, '10000': 1}",True,0.9999990001701655,0.0,9.998298344804368e-07,1.005550432859543,1.0078421175555774
readout_mitigated,q2,10,Y-->Y,-0.9764696079986321,256.0,"{'0': 0.011765196000683983, '1': 0.9882348039993161}","{'00100': 250, '00110': 2, '00101': 1, '00000': 3}",True,0.9999990038302888,0.0,9.96169711164896e-07,1.005550432859543,1.0078421175555774
readout_mitigated,q2,11,Y-->Z,0.07450972490359736,256.0,"{'0': 0.5372548624517987, '1': 0.4627451375482013}","{'00000': 136, '00100': 116, '01100': 2, '00110': 1, '00010': 1}",True,0.9999989997088055,0.0,1.0002911945417026e-06,1.005550432859543,1.0078421175555774
readout_mitigated,q2,12,Z+->X,0.1372547597037304,256.0,"{'0': 0.5686273798518652, '1': 0.43137262014813477}","{'00100': 104, '00000': 141, '00001': 2, '10000': 1, '01100': 2, '00101': 1, '00110': 4, '00010': 1}",True,0.9999989994627467,0.0,1.0005372532706502e-06,1.005550432859543,1.0078421175555774
readout_mitigated,q2,13,Z+->Y,0.09803911295364731,256.0,"{'0': 0.5490195564768237, '1': 0.45098044352317634}","{'01000': 1, '00000': 139, '01100': 1, '00100': 114, '00101': 1}",True,0.9999989996165335,0.0,1.0003834665095468e-06,1.005550432859543,1.0078421175555774
readout_mitigated,q2,14,Z+->Z,0.9843127295055274,256.0,"{'0': 0.9921563647527637, '1': 0.007843635247236276}","{'00100': 3, '01000': 5, '00000': 242, '00011': 2, '00010': 2, '00001': 1, '10000': 1}",True,0.9999989961409541,0.0,1.0038590458893992e-06,1.005550432859543,1.0078421175555774
